MCU;CANAL;SEGMENTO;REC_JAN;REC_FEV;REC_MAR;REC_ABR;REC_MAI;REC_JUN;REC_JUL;REC_AGO;REC_SET;REC_OUT;REC_NOV;REC_DEZ;REC_ACU;META_JAN;META_FEV;META_MAR;META_ABR;META_MAI;META_JUN;META_JUL;META_AGO;META_SET;META_OUT;META_NOV;META_DEZ;META_ACU;ANT_JAN;ANT_FEV;ANT_MAR;ANT_ABR;ANT_MAI;ANT_JUN;ANT_JUL;ANT_AGO;ANT_SET;ANT_OUT;ANT_NOV;ANT_DEZ;ANT_ACU
14479;À VISTA;OUTROS;0;0;0;11,88000011;0;0;0;0;0;0;0;0;11,88000011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14480;A FATURAR;CONVENIÊNCIA;0;0;156,8999939;0;0;0;0;0;0;0;0;0;156,8999939;0;0;0;0;0;0;0;0;0;0;0;0;0;14,39999962;0;0;0;0;0;0;0;0;0;0;0;14,39999962
14480;A FATURAR;ENCOMENDA;17,04000092;0;137,8700027;108,8699989;0;0;0;0;0;0;0;0;263,7800026;72,48000007;65,85999993;89,58;104,51;31,59380887;0;0;0;0;0;0;0;364,0238089;210,1300049;18,53000069;0;139,7400017;65,81999969;0;0;0;0;0;0;0;434,2200069
14480;A FATURAR;MENSAGEM;120,5;0;9,850000381;0;0;0;0;0;0;0;0;0;130,3500004;67,21000007;42,33999992;39,78000008;32,43999994;17,64148464;0;0;0;0;0;0;0;199,4114846;16,35000038;20,29999924;17,14999962;47,60000038;10,80000019;0;0;0;0;0;0;0;112,1999998
14480;À VISTA;CONVENIÊNCIA;2404,729949;1193,049978;1365,409972;1740,879968;876,3199756;0;0;0;0;0;0;0;7580,389842;797,1819333;700,7269557;891,8944518;756,3632437;369,9905073;0;0;0;0;0;0;0;3516,157092;1921,389993;1073,789987;2521,669982;2318,379948;1285,939964;0;0;0;0;0;0;0;9121,169874
14480;À VISTA;ENCOMENDA;7135,850117;6318,539944;5148,280012;5690,380045;1562,819992;0;0;0;0;0;0;0;25855,87011;6197,729988;5706,24;7193,929986;5740,430006;2708,472014;0;0;0;0;0;0;0;27546,80199;5056,489986;4447,589991;5231,789991;3280,480001;1791,830004;0;0;0;0;0;0;0;19808,17997
14480;À VISTA;INTERNACIONAL;322,75;0;487,3500061;0;0;0;0;0;0;0;0;0;810,1000061;134,52;129,5599999;169,2199998;136,0500003;61,79935199;0;0;0;0;0;0;0;631,149352;0;221,1000061;181,8500061;0;0;0;0;0;0;0;0;0;402,9500122
14480;À VISTA;MARKETING;0;104,7000008;0;0;0;0;0;0;0;0;0;0;104,7000008;8,920000009;7,900000024;9,54;7,879999992;3,357735653;0;0;0;0;0;0;0;37,59773568;9,300000191;0;0;53,20000076;0;0;0;0;0;0;0;0;62,50000095
14480;À VISTA;MENSAGEM;521,5000026;589,1400061;454,8000044;838,2000055;156,5599995;0;0;0;0;0;0;0;2560,200018;343,27;314,83;392,55;310,0100003;139,5742532;0;0;0;0;0;0;0;1500,234253;523,1599986;563,3499941;842,779994;364,7000043;395,1999981;0;0;0;0;0;0;0;2689,189989
14480;À VISTA;OUTROS;0;0;0;0;3,960000038;0;0;0;0;0;0;0;3,960000038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14484;A FATURAR;CONVENIÊNCIA;0;0;0;29,95000076;0;0;0;0;0;0;0;0;29,95000076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14484;A FATURAR;ENCOMENDA;0;0;0;334,159996;0;0;0;0;0;0;0;0;334,159996;0;0;0;2308,65;25,58031673;0;0;0;0;0;0;0;2334,230317;0;0;0;2056,560059;56,63999939;0;0;0;0;0;0;0;2113,200058
14484;À VISTA;CONVENIÊNCIA;1010,879984;1214,169978;703,6899927;1007,349996;315,5900009;0;0;0;0;0;0;0;4251,679951;2195,511936;1923,176958;2443,86445;2058,973246;1006,682911;0;0;0;0;0;0;0;9628,209502;711,4500005;665,889999;880,7699922;686,1900017;362,2000042;0;0;0;0;0;0;0;3306,499998
