Sigla;Descrição;Categoria;Tipo Concoord
OB; ENCOMENDA SEDEX (ETIQ LOGICA); SEDEX;SEDEX
OC; ENCOMENDA SEDEX (ETIQ LOGICA); SEDEX;SEDEX
OD; ETIQUETA SEDEX (FISICA); SEDEX;SEDEX
OE; ETIQUETA LÓGICA SEDEX 12; SEDEX 12;SEDEX
OF; ETIQUETA LÓGICA SEDEX; SEDEX;SEDEX
OG; ETIQUETA LÓGICA SEDEX; SEDEX;SEDEX
OH; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OI; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OJ; ETIQUETA LOGICA SEDEX OJ; SEDEX;SEDEX
OK; ETIQUETA LOGICA SEDEX OK; SEDEX;SEDEX
OL; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
OM; ETIQUETA LOGICA SEDEX OM; SEDEX;SEDEX
ON; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OO; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OP; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OQ; ETIQUETA LOGICA SEDEX OQ; SEDEX;SEDEX
OR; ETIQUETA LOGICA SEDEX 10 OR; SEDEX 10;SEDEX
OS; ETIQUETA LOGICA SEDEX OS; SEDEX;SEDEX
OT; ETIQUETA LOGICA SEDEX OT; SEDEX;SEDEX
OU; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OV; ETIQUETA FISICA SEDEX OV; SEDEX;SEDEX
OW; SEDEX HOJE COLABORATIVO; SEDEX HOJE;SEDEX
OX; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
OY; ETIQUETA FISICA SEDEX; SEDEX;SEDEX
OZ; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
PA; ETIQUETA LOG PAC ADM; ENCOMENDA PAC SERVIÇO;PAC
PB; ENCOMENDA PAC - NÃO URGENTE; ENCOMENDA PAC;PAC
PC; ENCOMENDA PAC A COBRAR; ENCOMENDA PAC;PAC
PD; ENCOMENDA PAC; ENCOMENDA PAC;PAC
PE; ENCOMENDA PAC (ETIQUETA FISICA); ENCOMENDA PAC;PAC
PF; ETIQ LOG PAC EXTRA GRANDE; ENCOMENDA PAC;PAC
PG; ENCOMENDA PAC (ETIQUETA FISICA); ENCOMENDA PAC;PAC
PH; ENCOMENDA PAC (ETIQUETA LOGICA); ENCOMENDA PAC;PAC
